
Leonidas  	1	M	light bright green  	Healthy
Myrta     	1	F	light green         	Healthy
Aeriel    	1	F	olive yellow        	Healthy
Mickie    	1	F	dirty yellow        	Healthy
Delano    	1	M	macaroni and cheese 	Healthy
------------------------------------------------------------------------
Leonidas  	2	M	light bright green  	Healthy
Myrta     	2	F	light green         	Healthy
Aeriel    	2	F	olive yellow        	Healthy
Mickie    	2	F	dirty yellow        	Healthy
Delano    	2	M	macaroni and cheese 	Healthy
Tawsha    	0	F	light green         	Healthy
Wenona    	0	F	olive yellow        	Healthy
Candace   	0	F	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	3	M	light bright green  	Healthy
Myrta     	3	F	light green         	Healthy
Aeriel    	3	F	olive yellow        	Healthy
Mickie    	3	F	dirty yellow        	Healthy
Delano    	3	M	macaroni and cheese 	Healthy
Tawsha    	1	F	light green         	Healthy
Wenona    	1	F	olive yellow        	Healthy
Candace   	1	F	dirty yellow        	Healthy
Maribel   	0	F	light green         	Healthy
Darda     	0	F	olive yellow        	Healthy
Mallory   	0	F	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	4	M	light bright green  	Healthy
Myrta     	4	F	light green         	Healthy
Aeriel    	4	F	olive yellow        	Healthy
Mickie    	4	F	dirty yellow        	Healthy
Delano    	4	M	macaroni and cheese 	Healthy
Tawsha    	2	F	light green         	Healthy
Wenona    	2	F	olive yellow        	Healthy
Candace   	2	F	dirty yellow        	Healthy
Maribel   	1	F	light green         	Healthy
Darda     	1	F	olive yellow        	Healthy
Mallory   	1	F	dirty yellow        	Healthy
Lucius    	0	M	light green         	Healthy
Guglielmo 	0	M	olive yellow        	Healthy
Mirabella 	0	F	dirty yellow        	Healthy
Tyler     	0	M	light green         	Healthy
Dinah     	0	F	olive yellow        	Healthy
Rebeca    	0	F	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	5	M	light bright green  	Healthy
Myrta     	5	F	light green         	Healthy
Aeriel    	5	F	olive yellow        	Healthy
Mickie    	5	F	dirty yellow        	Healthy
Delano    	5	M	macaroni and cheese 	Healthy
Tawsha    	3	F	light green         	Healthy
Wenona    	3	F	olive yellow        	Healthy
Candace   	3	F	dirty yellow        	Healthy
Maribel   	2	F	light green         	Healthy
Darda     	2	F	olive yellow        	Healthy
Mallory   	2	F	dirty yellow        	Healthy
Lucius    	1	M	light green         	Healthy
Guglielmo 	1	M	olive yellow        	Healthy
Mirabella 	1	F	dirty yellow        	Healthy
Tyler     	1	M	light green         	Healthy
Dinah     	1	F	olive yellow        	Healthy
Rebeca    	1	F	dirty yellow        	Healthy
Melvyn    	0	M	light green         	Healthy
Filberto  	0	M	olive yellow        	Healthy
Hedi      	0	F	dirty yellow        	Healthy
Teodorico 	0	M	light green         	Healthy
Ewan      	0	M	olive yellow        	Healthy
Augusta   	0	F	dirty yellow        	Healthy
Arther    	0	M	light green         	Healthy
Christin  	0	F	olive yellow        	Healthy
Ferdie    	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	6	M	light bright green  	Healthy
Myrta     	6	F	light green         	Healthy
Aeriel    	6	F	olive yellow        	Healthy
Mickie    	6	F	dirty yellow        	Healthy
Delano    	6	M	macaroni and cheese 	Healthy
Tawsha    	4	F	light green         	Healthy
Wenona    	4	F	olive yellow        	Healthy
Candace   	4	F	dirty yellow        	Healthy
Maribel   	3	F	light green         	Healthy
Darda     	3	F	olive yellow        	Healthy
Mallory   	3	F	dirty yellow        	Healthy
Lucius    	2	M	light green         	Healthy
Guglielmo 	2	M	olive yellow        	Healthy
Mirabella 	2	F	dirty yellow        	Healthy
