
Hanson    	1	M	lighter green       	Healthy
Bab       	1	F	red purple          	Healthy
Bengt     	1	M	dirty purple        	Healthy
Brice     	1	M	bright sea green    	Healthy
Linda     	1	F	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	2	M	lighter green       	Healthy
Bab       	2	F	red purple          	Healthy
Bengt     	2	M	dirty purple        	Healthy
Brice     	2	M	bright sea green    	Healthy
Linda     	2	F	candy pink          	Healthy
Cherey    	0	F	red purple          	Healthy
Tremain   	0	M	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	3	M	lighter green       	Healthy
Bab       	3	F	red purple          	Healthy
Bengt     	3	M	dirty purple        	Healthy
Brice     	3	M	bright sea green    	Healthy
Linda     	3	F	candy pink          	Healthy
Cherey    	1	F	red purple          	Healthy
Tremain   	1	M	candy pink          	Healthy
Agace     	0	F	red purple          	Healthy
Orsola    	0	F	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	4	M	lighter green       	Healthy
Bab       	4	F	red purple          	Healthy
Bengt     	4	M	dirty purple        	Healthy
Brice     	4	M	bright sea green    	Healthy
Linda     	4	F	candy pink          	Healthy
Cherey    	2	F	red purple          	Healthy
Tremain   	2	M	candy pink          	Healthy
Agace     	1	F	red purple          	Healthy
Orsola    	1	F	candy pink          	Healthy
Shina     	0	F	red purple          	Healthy
Coralie   	0	F	candy pink          	Healthy
Colet     	0	M	red purple          	Healthy
------------------------------------------------------------------------
Hanson    	5	M	lighter green       	Healthy
Bab       	5	F	red purple          	Healthy
Bengt     	5	M	dirty purple        	Healthy
Brice     	5	M	bright sea green    	Healthy
Linda     	5	F	candy pink          	Healthy
Cherey    	3	F	red purple          	Healthy
Tremain   	3	M	candy pink          	Healthy
Agace     	2	F	red purple          	Healthy
Orsola    	2	F	candy pink          	Healthy
Shina     	1	F	red purple          	Healthy
Coralie   	1	F	candy pink          	Healthy
Colet     	1	M	red purple          	Healthy
Brendis   	0	M	red purple          	Healthy
Trude     	0	F	candy pink          	Healthy
Dugald    	0	M	red purple          	Healthy
Dulce     	0	F	red purple          	Healthy
Padriac   	0	M	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	6	M	lighter green       	Healthy
Bab       	6	F	red purple          	Healthy
Bengt     	6	M	dirty purple        	Healthy
Brice     	6	M	bright sea green    	Healthy
Linda     	6	F	candy pink          	Healthy
Cherey    	4	F	red purple          	Healthy
Tremain   	4	M	candy pink          	Healthy
Agace     	3	F	red purple          	Healthy
Orsola    	3	F	candy pink          	Healthy
Shina     	2	F	red purple          	Healthy
Coralie   	2	F	candy pink          	Healthy
Colet     	2	M	red purple          	Healthy
Brendis   	1	M	red purple          	Healthy
Trude     	1	F	candy pink          	Healthy
Dugald    	1	M	red purple          	Healthy
Dulce     	1	F	red purple          	Healthy
Padriac   	1	M	candy pink          	Healthy
Collen    	0	F	red purple          	Healthy
Austen    	0	M	candy pink          	Healthy
Haily     	0	M	red purple          	Healthy
Jorgan    	0	M	red purple          	Healthy
Hyman     	0	M	candy pink          	Healthy
Riobard   	0	M	red purple          	Healthy
Christal  	0	F	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	7	M	lighter green       	Healthy
Bab       	7	F	red purple          	Healthy
Bengt     	7	M	dirty purple        	Healthy
Brice     	7	M	bright sea green    	Healthy
Linda     	7	F	candy pink          	Healthy
Cherey    	5	F	red purple          	Healthy
Tremain   	5	M	candy pink          	Healthy
Agace     	4	F	red purple          	Healthy
Orsola    	4	F	candy pink          	Healthy
Shina     	3	F	red purple          	Healthy
Coralie   	3	F	candy pink          	Healthy
Colet     	3	M	red purple          	Healthy
Brendis   	2	M	red purple          	Healthy
Trude     	2	F	candy pink          	Healthy
Dugald    	2	M	red purple          	Healthy
Dulce     	2	F	red purple          	Healthy
Padriac   	2	M	candy pink          	Healthy
Collen    	1	F	red purple          	Healthy
Austen    	1	M	candy pink          	Healthy
Haily     	1	M	red purple          	Healthy
Jorgan    	1	M	red purple          	Healthy
Hyman     	1	M	candy pink          	Healthy
Riobard   	1	M	red purple          	Healthy
Christal  	1	F	candy pink          	Healthy
Robinette 	0	F	red purple          	Healthy
Renault   	0	M	candy pink          	Healthy
Kinnie    	0	M	red purple          	Healthy
Kit       	0	M	red purple          	Healthy
Lavina    	0	F	candy pink          	Healthy
Hartley   	0	M	red purple          	Healthy
Nelia     	0	F	candy pink          	Healthy
Etan      	0	M	candy pink          	Healthy
Gertrud   	0	F	red purple          	Healthy
------------------------------------------------------------------------
Hanson    	8	M	lighter green       	Healthy
Bab       	8	F	red purple          	Healthy
Bengt     	8	M	dirty purple        	Healthy
Brice     	8	M	bright sea green    	Healthy
Linda     	8	F	candy pink          	Healthy
Cherey    	6	F	red purple          	Healthy
Tremain   	6	M	candy pink          	Healthy
Agace     	5	F	red purple          	Healthy
Orsola    	5	F	candy pink          	Healthy
Shina     	4	F	red purple          	Healthy
Coralie   	4	F	candy pink          	Healthy
Colet     	4	M	red purple          	Healthy
Brendis   	3	M	red purple          	Healthy
Trude     	3	F	candy pink          	Healthy
Dugald    	3	M	red purple          	Healthy
Dulce     	3	F	red purple          	Healthy
Padriac   	3	M	candy pink          	Healthy
Collen    	2	F	red purple          	Healthy
Austen    	2	M	candy pink          	Healthy
Haily     	2	M	red purple          	Healthy
Jorgan    	2	M	red purple          	Healthy
Hyman     	2	M	candy pink          	Healthy
Riobard   	2	M	red purple          	Healthy
Christal  	2	F	candy pink          	Healthy
Robinette 	1	F	red purple          	Healthy
Renault   	1	M	candy pink          	Healthy
Kinnie    	1	M	red purple          	Healthy
Kit       	1	M	red purple          	Healthy
Lavina    	1	F	candy pink          	Healthy
Hartley   	1	M	red purple          	Healthy
Nelia     	1	F	candy pink          	Healthy
Etan      	1	M	candy pink          	Healthy
Gertrud   	1	F	red purple          	Healthy
Camellia  	0	F	red purple          	Healthy
Hazel     	0	F	candy pink          	Healthy
Hali      	0	F	red purple          	Healthy
Bambie    	0	F	red purple          	Healthy
Padriac   	0	M	candy pink          	Healthy
Celka     	0	F	red purple          	Healthy
Charis    	0	F	candy pink          	Healthy
Clo       	0	F	candy pink          	Healthy
Sloan     	0	M	red purple          	Healthy
Anna-Maria	0	F	red purple          	Healthy
Stormy    	0	F	candy pink          	Healthy
------------------------------------------------------------------------
Hanson    	9	M	lighter green       	Healthy
Bab       	9	F	red purple          	Healthy
Bengt     	9	M	dirty purple        	Healthy
Brice     	9	M	bright sea green    	Healthy
Linda     	9	F	candy pink          	Healthy
Cherey    	7	F	red purple          	Healthy
Tremain   	7	M	candy pink          	Healthy
Agace     	6	F	red purple          	Healthy
Orsola    	6	F	candy pink          	Healthy
Shina     	5	F	red purple          	Healthy
Coralie   	5	F	candy pink          	Healthy
Colet     	5	M	red purple          	Healthy
Brendis   	4	M	red purple          	Healthy
Trude     	4	F	candy pink          	Healthy
Dugald    	4	M	red purple          	Healthy
Dulce     	4	F	red purple          	Healthy
Padriac   	4	M	candy pink          	Healthy
Collen    	3	F	red purple          	Healthy
Austen    	3	M	candy pink          	Healthy
Haily     	3	M	red purple          	Healthy
Jorgan    	3	M	red purple          	Healthy
Hyman     	3	M	candy pink          	Healthy
Riobard   	3	M	red purple          	Healthy
Christal  	3	F	candy pink          	Healthy
Robinette 	2	F	red purple          	Healthy
Renault   	2	M	candy pink          	Healthy
Kinnie    	2	M	red purple          	Healthy
Kit       	2	M	red purple          	Healthy
Lavina    	2	F	candy pink          	Healthy
Hartley   	2	M	red purple          	Healthy
Nelia     	2	F	candy pink          	Healthy
Etan      	2	M	candy pink          	Healthy
Gertrud   	2	F	red purple          	Healthy
Camellia  	1	F	red purple          	Healthy
Hazel     	1	F	candy pink          	Healthy
Hali      	1	F	red purple          	Healthy
Bambie    	1	F	red purple          	Healthy
Padriac   	1	M	candy pink          	Healthy
Celka     	1	F	red purple          	Healthy
Charis    	1	F	candy pink          	Healthy
Clo       	1	F	candy pink          	Healthy
Sloan     	1	M	red purple          	Healthy
Anna-Maria	1	F	red purple          	Healthy
Stormy    	1	F	candy pink          	Healthy
Irwinn    	0	M	red purple          	Healthy
Hobard    	0	M	candy pink          	Healthy
Trey      	0	M	red purple          	Healthy
Jewel     	0	F	red purple          	Healthy
Reginauld 	0	M	candy pink          	Healthy
Marcelline	0	F	red purple          	Healthy
Jeramie   	0	M	candy pink          	Healthy
Rollie    	0	M	candy pink          	Healthy
Paolina   	0	F	red purple          	Healthy
Anton     	0	M	red purple          	Healthy
Libby     	0	F	candy pink          	Healthy
Chance    	0	M	red purple          	Healthy
Shir      	0	F	candy pink          	Healthy
Dena      	0	F	candy pink          	Healthy
Elsa      	0	F	red purple          	Healthy
------------------------------------------------------------------------
Hanson    	10	M	lighter green       	Healthy
Bab       	10	F	red purple          	Healthy
Bengt     	10	M	dirty purple        	Healthy
Brice     	10	M	bright sea green    	Healthy
Linda     	10	F	candy pink          	Healthy
