
Isidoro   	1	M	purplish grey       	Healthy
Quinlan   	1	M	fern green          	Healthy
Matty     	1	F	dark blue           	Radioactive
Jacky     	1	F	warm purple         	Healthy
Filide    	1	F	dark navy blue      	Healthy
------------------------------------------------------------------------
Isidoro   	2	M	purplish grey       	Healthy
Quinlan   	2	M	fern green          	Healthy
Matty     	2	F	dark blue           	Radioactive
Jacky     	2	F	warm purple         	Healthy
Filide    	2	F	dark navy blue      	Healthy
Kellia    	0	F	warm purple         	Healthy
Leicester 	0	M	dark navy blue      	Healthy
------------------------------------------------------------------------
Isidoro   	3	M	purplish grey       	Healthy
Quinlan   	3	M	fern green          	Healthy
Matty     	3	F	dark blue           	Radioactive
Jacky     	3	F	warm purple         	Healthy
Filide    	3	F	dark navy blue      	Healthy
Kellia    	1	F	warm purple         	Healthy
Leicester 	1	M	dark navy blue      	Healthy
Inness    	0	M	warm purple         	Healthy
Kacey     	0	F	dark navy blue      	Healthy
------------------------------------------------------------------------
Isidoro   	4	M	purplish grey       	Healthy
Quinlan   	4	M	fern green          	Healthy
Matty     	4	F	dark blue           	Radioactive
Jacky     	4	F	warm purple         	Healthy
Filide    	4	F	dark navy blue      	Healthy
Kellia    	2	F	warm purple         	Healthy
Leicester 	2	M	dark navy blue      	Healthy
Inness    	1	M	warm purple         	Healthy
Kacey     	1	F	dark navy blue      	Healthy
Myrilla   	0	F	warm purple         	Healthy
Pavel     	0	M	dark navy blue      	Healthy
Katusha   	0	F	warm purple         	Healthy
------------------------------------------------------------------------
Isidoro   	5	M	purplish grey       	Healthy
Quinlan   	5	M	fern green          	Healthy
Matty     	5	F	dark blue           	Radioactive
Jacky     	5	F	warm purple         	Healthy
Filide    	5	F	dark navy blue      	Healthy
Kellia    	3	F	warm purple         	Healthy
Leicester 	3	M	dark navy blue      	Healthy
Inness    	2	M	warm purple         	Healthy
Kacey     	2	F	dark navy blue      	Healthy
Myrilla   	1	F	warm purple         	Healthy
Pavel     	1	M	dark navy blue      	Healthy
Katusha   	1	F	warm purple         	Healthy
Lindsay   	0	M	warm purple         	Healthy
Elijah    	0	M	dark navy blue      	Healthy
Trescha   	0	F	warm purple         	Healthy
Skyler    	0	M	dark navy blue      	Healthy
------------------------------------------------------------------------
Isidoro   	6	M	purplish grey       	Healthy
Quinlan   	6	M	fern green          	Healthy
Matty     	6	F	dark blue           	Radioactive
Jacky     	6	F	warm purple         	Healthy
Filide    	6	F	dark navy blue      	Healthy
Kellia    	4	F	warm purple         	Healthy
Leicester 	4	M	dark navy blue      	Healthy
Inness    	3	M	warm purple         	Healthy
Kacey     	3	F	dark navy blue      	Healthy
Myrilla   	2	F	warm purple         	Healthy
Pavel     	2	M	dark navy blue      	Healthy
Katusha   	2	F	warm purple         	Healthy
Lindsay   	1	M	warm purple         	Healthy
Elijah    	1	M	dark navy blue      	Healthy
Trescha   	1	F	warm purple         	Healthy
Skyler    	1	M	dark navy blue      	Healthy
Brita     	0	F	warm purple         	Healthy
Kinnie    	0	M	dark navy blue      	Healthy
Quinn     	0	F	warm purple         	Healthy
Kate      	0	F	dark navy blue      	Healthy
Gretna    	0	F	warm purple         	Healthy
Josy      	0	F	warm purple         	Healthy
------------------------------------------------------------------------
Isidoro   	7	M	purplish grey       	Healthy
Quinlan   	7	M	fern green          	Healthy
Matty     	7	F	dark blue           	Radioactive
Jacky     	7	F	warm purple         	Healthy
Filide    	7	F	dark navy blue      	Healthy
Kellia    	5	F	warm purple         	Healthy
Leicester 	5	M	dark navy blue      	Healthy
Inness    	4	M	warm purple         	Healthy
Kacey     	4	F	dark navy blue      	Healthy
Myrilla   	3	F	warm purple         	Healthy
Pavel     	3	M	dark navy blue      	Healthy
Katusha   	3	F	warm purple         	Healthy
Lindsay   	2	M	warm purple         	Healthy
Elijah    	2	M	dark navy blue      	Healthy
Trescha   	2	F	warm purple         	Healthy
Skyler    	2	M	dark navy blue      	Healthy
Brita     	1	F	warm purple         	Healthy
Kinnie    	1	M	dark navy blue      	Healthy
Quinn     	1	F	warm purple         	Healthy
Kate      	1	F	dark navy blue      	Healthy
Gretna    	1	F	warm purple         	Healthy
Josy      	1	F	warm purple         	Healthy
Darline   	0	F	warm purple         	Healthy
Chester   	0	M	dark navy blue      	Healthy
Abby      	0	M	warm purple         	Healthy
Minnie    	0	F	dark navy blue      	Healthy
Rozelle   	0	F	warm purple         	Healthy
Dulcine   	0	F	warm purple         	Healthy
Angelica  	0	F	warm purple         	Healthy
------------------------------------------------------------------------
Isidoro   	8	M	purplish grey       	Healthy
Quinlan   	8	M	fern green          	Healthy
Matty     	8	F	dark blue           	Radioactive
Jacky     	8	F	warm purple         	Healthy
Filide    	8	F	dark navy blue      	Healthy
Kellia    	6	F	warm purple         	Healthy
Leicester 	6	M	dark navy blue      	Healthy
Inness    	5	M	warm purple         	Healthy
Kacey     	5	F	dark navy blue      	Healthy
Myrilla   	4	F	warm purple         	Healthy
Pavel     	4	M	dark navy blue      	Healthy
Katusha   	4	F	warm purple         	Healthy
Lindsay   	3	M	warm purple         	Healthy
Elijah    	3	M	dark navy blue      	Healthy
Trescha   	3	F	warm purple         	Healthy
