
Ramsey    	1	M	muted purple        	Healthy
Phebe     	1	F	iris                	Healthy
Damara    	1	F	brownish orange     	Healthy
Agnella   	1	F	canary yellow       	Healthy
Lonna     	1	F	hot green           	Healthy
------------------------------------------------------------------------
Ramsey    	2	M	muted purple        	Healthy
Phebe     	2	F	iris                	Healthy
Damara    	2	F	brownish orange     	Healthy
Agnella   	2	F	canary yellow       	Healthy
Lonna     	2	F	hot green           	Healthy
Rosemary  	0	F	iris                	Healthy
Vern      	0	M	brownish orange     	Healthy
Jud       	0	M	canary yellow       	Healthy
Ronnie    	0	F	hot green           	Healthy
------------------------------------------------------------------------
Ramsey    	3	M	muted purple        	Healthy
Phebe     	3	F	iris                	Healthy
Damara    	3	F	brownish orange     	Healthy
Agnella   	3	F	canary yellow       	Healthy
Lonna     	3	F	hot green           	Healthy
Rosemary  	1	F	iris                	Healthy
Vern      	1	M	brownish orange     	Healthy
Jud       	1	M	canary yellow       	Healthy
Ronnie    	1	F	hot green           	Healthy
Nariko    	0	F	iris                	Healthy
Gilda     	0	F	brownish orange     	Healthy
Elmo      	0	M	canary yellow       	Healthy
Gilberto  	0	M	hot green           	Healthy
------------------------------------------------------------------------
Ramsey    	4	M	muted purple        	Healthy
Phebe     	4	F	iris                	Healthy
Damara    	4	F	brownish orange     	Healthy
Agnella   	4	F	canary yellow       	Healthy
Lonna     	4	F	hot green           	Healthy
Rosemary  	2	F	iris                	Healthy
Vern      	2	M	brownish orange     	Healthy
Jud       	2	M	canary yellow       	Healthy
Ronnie    	2	F	hot green           	Healthy
Nariko    	1	F	iris                	Healthy
Gilda     	1	F	brownish orange     	Healthy
Elmo      	1	M	canary yellow       	Healthy
Gilberto  	1	M	hot green           	Healthy
Pietro    	0	M	iris                	Healthy
Griffith  	0	M	brownish orange     	Healthy
Karmen    	0	F	canary yellow       	Healthy
Sancho    	0	M	hot green           	Healthy
Darnall   	0	M	iris                	Healthy
Kenn      	0	M	hot green           	Healthy
------------------------------------------------------------------------
Ramsey    	5	M	muted purple        	Healthy
Phebe     	5	F	iris                	Healthy
Damara    	5	F	brownish orange     	Healthy
Agnella   	5	F	canary yellow       	Healthy
Lonna     	5	F	hot green           	Healthy
Rosemary  	3	F	iris                	Healthy
Vern      	3	M	brownish orange     	Healthy
Jud       	3	M	canary yellow       	Healthy
Ronnie    	3	F	hot green           	Healthy
Nariko    	2	F	iris                	Healthy
Gilda     	2	F	brownish orange     	Healthy
Elmo      	2	M	canary yellow       	Healthy
Gilberto  	2	M	hot green           	Healthy
Pietro    	1	M	iris                	Healthy
Griffith  	1	M	brownish orange     	Healthy
Karmen    	1	F	canary yellow       	Healthy
Sancho    	1	M	hot green           	Healthy
Darnall   	1	M	iris                	Healthy
Kenn      	1	M	hot green           	Healthy
Bertram   	0	M	iris                	Healthy
Sax       	0	M	brownish orange     	Healthy
Rhetta    	0	F	canary yellow       	Healthy
Vikki     	0	F	hot green           	Healthy
Keary     	0	M	iris                	Healthy
Clem      	0	M	hot green           	Healthy
Alexine   	0	F	iris                	Healthy
Allis     	0	F	brownish orange     	Healthy
------------------------------------------------------------------------
Ramsey    	6	M	muted purple        	Healthy
Phebe     	6	F	iris                	Healthy
Damara    	6	F	brownish orange     	Healthy
Agnella   	6	F	canary yellow       	Healthy
Lonna     	6	F	hot green           	Healthy
Rosemary  	4	F	iris                	Healthy
Vern      	4	M	brownish orange     	Healthy
Jud       	4	M	canary yellow       	Healthy
Ronnie    	4	F	hot green           	Healthy
Nariko    	3	F	iris                	Healthy
Gilda     	3	F	brownish orange     	Healthy
Elmo      	3	M	canary yellow       	Healthy
Gilberto  	3	M	hot green           	Healthy
Pietro    	2	M	iris                	Healthy
Griffith  	2	M	brownish orange     	Healthy
Karmen    	2	F	canary yellow       	Healthy
Sancho    	2	M	hot green           	Healthy
Darnall   	2	M	iris                	Healthy
Kenn      	2	M	hot green           	Healthy
Bertram   	1	M	iris                	Healthy
Sax       	1	M	brownish orange     	Healthy
Rhetta    	1	F	canary yellow       	Healthy
Vikki     	1	F	hot green           	Healthy
Keary     	1	M	iris                	Healthy
Clem      	1	M	hot green           	Healthy
Alexine   	1	F	iris                	Healthy
Allis     	1	F	brownish orange     	Healthy
Abagael   	0	F	iris                	Healthy
Eli       	0	M	brownish orange     	Healthy
Viviene   	0	F	canary yellow       	Healthy
Ronnie    	0	M	hot green           	Healthy
Ogdan     	0	M	iris                	Healthy
Geralda   	0	F	hot green           	Healthy
Rhetta    	0	F	iris                	Healthy
Perry     	0	F	brownish orange     	Healthy
Winslow   	0	M	canary yellow       	Healthy
------------------------------------------------------------------------
Ramsey    	7	M	muted purple        	Healthy
Phebe     	7	F	iris                	Healthy
Damara    	7	F	brownish orange     	Healthy
Agnella   	7	F	canary yellow       	Healthy
Lonna     	7	F	hot green           	Healthy
Rosemary  	5	F	iris                	Healthy
Vern      	5	M	brownish orange     	Healthy
Jud       	5	M	canary yellow       	Healthy
Ronnie    	5	F	hot green           	Healthy
Nariko    	4	F	iris                	Healthy
Gilda     	4	F	brownish orange     	Healthy
Elmo      	4	M	canary yellow       	Healthy
Gilberto  	4	M	hot green           	Healthy
Pietro    	3	M	iris                	Healthy
Griffith  	3	M	brownish orange     	Healthy
Karmen    	3	F	canary yellow       	Healthy
Sancho    	3	M	hot green           	Healthy
Darnall   	3	M	iris                	Healthy
Kenn      	3	M	hot green           	Healthy
Bertram   	2	M	iris                	Healthy
Sax       	2	M	brownish orange     	Healthy
Rhetta    	2	F	canary yellow       	Healthy
Vikki     	2	F	hot green           	Healthy
Keary     	2	M	iris                	Healthy
Clem      	2	M	hot green           	Healthy
Alexine   	2	F	iris                	Healthy
Allis     	2	F	brownish orange     	Healthy
