
Jeanna    	1	F	muted pink          	Healthy
Helena    	1	F	pale olive green    	Healthy
Fairlie   	1	M	greenish            	Healthy
Curtis    	1	M	bright aqua         	Healthy
Keefe     	1	M	light light green   	Healthy
------------------------------------------------------------------------
Jeanna    	2	F	muted pink          	Healthy
Helena    	2	F	pale olive green    	Healthy
Fairlie   	2	M	greenish            	Healthy
Curtis    	2	M	bright aqua         	Healthy
Keefe     	2	M	light light green   	Healthy
Ulrike    	0	F	muted pink          	Healthy
Aldridge  	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	3	F	muted pink          	Healthy
Helena    	3	F	pale olive green    	Healthy
Fairlie   	3	M	greenish            	Healthy
Curtis    	3	M	bright aqua         	Healthy
Keefe     	3	M	light light green   	Healthy
Ulrike    	1	F	muted pink          	Healthy
Aldridge  	1	M	pale olive green    	Healthy
Orelle    	0	F	muted pink          	Healthy
Tannie    	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	4	F	muted pink          	Healthy
Helena    	4	F	pale olive green    	Healthy
Fairlie   	4	M	greenish            	Healthy
Curtis    	4	M	bright aqua         	Healthy
Keefe     	4	M	light light green   	Healthy
Ulrike    	2	F	muted pink          	Healthy
Aldridge  	2	M	pale olive green    	Healthy
Orelle    	1	F	muted pink          	Healthy
Tannie    	1	M	pale olive green    	Healthy
Terrill   	0	M	muted pink          	Healthy
Martie    	0	F	pale olive green    	Healthy
Lennie    	0	M	muted pink          	Healthy
------------------------------------------------------------------------
Jeanna    	5	F	muted pink          	Healthy
Helena    	5	F	pale olive green    	Healthy
Fairlie   	5	M	greenish            	Healthy
Curtis    	5	M	bright aqua         	Healthy
Keefe     	5	M	light light green   	Healthy
Ulrike    	3	F	muted pink          	Healthy
Aldridge  	3	M	pale olive green    	Healthy
Orelle    	2	F	muted pink          	Healthy
Tannie    	2	M	pale olive green    	Healthy
Terrill   	1	M	muted pink          	Healthy
Martie    	1	F	pale olive green    	Healthy
Lennie    	1	M	muted pink          	Healthy
Miller    	0	M	muted pink          	Healthy
Andie     	0	F	pale olive green    	Healthy
Hersch    	0	M	muted pink          	Healthy
Talbert   	0	M	muted pink          	Healthy
------------------------------------------------------------------------
Jeanna    	6	F	muted pink          	Healthy
Helena    	6	F	pale olive green    	Healthy
Fairlie   	6	M	greenish            	Healthy
Curtis    	6	M	bright aqua         	Healthy
Keefe     	6	M	light light green   	Healthy
Ulrike    	4	F	muted pink          	Healthy
Aldridge  	4	M	pale olive green    	Healthy
Orelle    	3	F	muted pink          	Healthy
Tannie    	3	M	pale olive green    	Healthy
Terrill   	2	M	muted pink          	Healthy
Martie    	2	F	pale olive green    	Healthy
Lennie    	2	M	muted pink          	Healthy
Miller    	1	M	muted pink          	Healthy
Andie     	1	F	pale olive green    	Healthy
Hersch    	1	M	muted pink          	Healthy
Talbert   	1	M	muted pink          	Healthy
Elnar     	0	M	muted pink          	Healthy
Kleon     	0	M	pale olive green    	Healthy
Nestor    	0	M	muted pink          	Healthy
Goddard   	0	M	muted pink          	Healthy
Pat       	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	7	F	muted pink          	Healthy
Helena    	7	F	pale olive green    	Healthy
Fairlie   	7	M	greenish            	Healthy
Curtis    	7	M	bright aqua         	Healthy
Keefe     	7	M	light light green   	Healthy
Ulrike    	5	F	muted pink          	Healthy
Aldridge  	5	M	pale olive green    	Healthy
Orelle    	4	F	muted pink          	Healthy
Tannie    	4	M	pale olive green    	Healthy
Terrill   	3	M	muted pink          	Healthy
Martie    	3	F	pale olive green    	Healthy
Lennie    	3	M	muted pink          	Healthy
Miller    	2	M	muted pink          	Healthy
Andie     	2	F	pale olive green    	Healthy
Hersch    	2	M	muted pink          	Healthy
Talbert   	2	M	muted pink          	Healthy
Elnar     	1	M	muted pink          	Healthy
Kleon     	1	M	pale olive green    	Healthy
Nestor    	1	M	muted pink          	Healthy
Goddard   	1	M	muted pink          	Healthy
Pat       	1	M	pale olive green    	Healthy
Rozella   	0	F	muted pink          	Healthy
Benson    	0	M	pale olive green    	Healthy
Ajay      	0	F	muted pink          	Healthy
Emma      	0	F	muted pink          	Healthy
Mia       	0	F	pale olive green    	Healthy
Gilly     	0	F	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	8	F	muted pink          	Healthy
Helena    	8	F	pale olive green    	Healthy
Fairlie   	8	M	greenish            	Healthy
Curtis    	8	M	bright aqua         	Healthy
Keefe     	8	M	light light green   	Healthy
Ulrike    	6	F	muted pink          	Healthy
Aldridge  	6	M	pale olive green    	Healthy
Orelle    	5	F	muted pink          	Healthy
Tannie    	5	M	pale olive green    	Healthy
Terrill   	4	M	muted pink          	Healthy
Martie    	4	F	pale olive green    	Healthy
Lennie    	4	M	muted pink          	Healthy
Miller    	3	M	muted pink          	Healthy
Andie     	3	F	pale olive green    	Healthy
Hersch    	3	M	muted pink          	Healthy
Talbert   	3	M	muted pink          	Healthy
Elnar     	2	M	muted pink          	Healthy
Kleon     	2	M	pale olive green    	Healthy
Nestor    	2	M	muted pink          	Healthy
Goddard   	2	M	muted pink          	Healthy
Pat       	2	M	pale olive green    	Healthy
Rozella   	1	F	muted pink          	Healthy
Benson    	1	M	pale olive green    	Healthy
Ajay      	1	F	muted pink          	Healthy
Emma      	1	F	muted pink          	Healthy
Mia       	1	F	pale olive green    	Healthy
Gilly     	1	F	pale olive green    	Healthy
Malynda   	0	F	muted pink          	Healthy
Giffer    	0	M	pale olive green    	Healthy
Neilla    	0	F	muted pink          	Healthy
Herold    	0	M	muted pink          	Healthy
Lucina    	0	F	pale olive green    	Healthy
Charles   	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	9	F	muted pink          	Healthy
Helena    	9	F	pale olive green    	Healthy
Fairlie   	9	M	greenish            	Healthy
Curtis    	9	M	bright aqua         	Healthy
Keefe     	9	M	light light green   	Healthy
Ulrike    	7	F	muted pink          	Healthy
Aldridge  	7	M	pale olive green    	Healthy
Orelle    	6	F	muted pink          	Healthy
Tannie    	6	M	pale olive green    	Healthy
Terrill   	5	M	muted pink          	Healthy
Martie    	5	F	pale olive green    	Healthy
Lennie    	5	M	muted pink          	Healthy
Miller    	4	M	muted pink          	Healthy
Andie     	4	F	pale olive green    	Healthy
Hersch    	4	M	muted pink          	Healthy
Talbert   	4	M	muted pink          	Healthy
Elnar     	3	M	muted pink          	Healthy
Kleon     	3	M	pale olive green    	Healthy
Nestor    	3	M	muted pink          	Healthy
Goddard   	3	M	muted pink          	Healthy
Pat       	3	M	pale olive green    	Healthy
Rozella   	2	F	muted pink          	Healthy
Benson    	2	M	pale olive green    	Healthy
Ajay      	2	F	muted pink          	Healthy
Emma      	2	F	muted pink          	Healthy
Mia       	2	F	pale olive green    	Healthy
Gilly     	2	F	pale olive green    	Healthy
Malynda   	1	F	muted pink          	Healthy
Giffer    	1	M	pale olive green    	Healthy
Neilla    	1	F	muted pink          	Healthy
Herold    	1	M	muted pink          	Healthy
Lucina    	1	F	pale olive green    	Healthy
Charles   	1	M	pale olive green    	Healthy
Joni      	0	F	muted pink          	Healthy
Putnem    	0	M	pale olive green    	Healthy
Thor      	0	M	muted pink          	Healthy
Marius    	0	M	muted pink          	Healthy
Gunilla   	0	F	pale olive green    	Healthy
Edvard    	0	M	pale olive green    	Healthy
Abelard   	0	M	muted pink          	Healthy
Vevay     	0	F	muted pink          	Healthy
Costa     	0	M	muted pink          	Healthy
Carr      	0	M	pale olive green    	Healthy
Herby     	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Jeanna    	10	F	muted pink          	Healthy
Helena    	10	F	pale olive green    	Healthy
Fairlie   	10	M	greenish            	Healthy
Curtis    	10	M	bright aqua         	Healthy
Keefe     	10	M	light light green   	Healthy
Ulrike    	8	F	muted pink          	Healthy
Aldridge  	8	M	pale olive green    	Healthy
Orelle    	7	F	muted pink          	Healthy
Tannie    	7	M	pale olive green    	Healthy
Terrill   	6	M	muted pink          	Healthy
Martie    	6	F	pale olive green    	Healthy
Lennie    	6	M	muted pink          	Healthy
Miller    	5	M	muted pink          	Healthy
Andie     	5	F	pale olive green    	Healthy
Hersch    	5	M	muted pink          	Healthy
Talbert   	5	M	muted pink          	Healthy
Elnar     	4	M	muted pink          	Healthy
Kleon     	4	M	pale olive green    	Healthy
Nestor    	4	M	muted pink          	Healthy
Goddard   	4	M	muted pink          	Healthy
Pat       	4	M	pale olive green    	Healthy
Rozella   	3	F	muted pink          	Healthy
Benson    	3	M	pale olive green    	Healthy
Ajay      	3	F	muted pink          	Healthy
Emma      	3	F	muted pink          	Healthy
Mia       	3	F	pale olive green    	Healthy
Gilly     	3	F	pale olive green    	Healthy
Malynda   	2	F	muted pink          	Healthy
Giffer    	2	M	pale olive green    	Healthy
Neilla    	2	F	muted pink          	Healthy
Herold    	2	M	muted pink          	Healthy
Lucina    	2	F	pale olive green    	Healthy
Charles   	2	M	pale olive green    	Healthy
Joni      	1	F	muted pink          	Healthy
Putnem    	1	M	pale olive green    	Healthy
Thor      	1	M	muted pink          	Healthy
Marius    	1	M	muted pink          	Healthy
Gunilla   	1	F	pale olive green    	Healthy
Edvard    	1	M	pale olive green    	Healthy
Abelard   	1	M	muted pink          	Healthy
Vevay     	1	F	muted pink          	Healthy
Costa     	1	M	muted pink          	Healthy
Carr      	1	M	pale olive green    	Healthy
Herby     	1	M	pale olive green    	Healthy
Leyla     	0	F	muted pink          	Healthy
Whitney   	0	M	pale olive green    	Healthy
Fernando  	0	M	muted pink          	Healthy
Ezri      	0	M	muted pink          	Healthy
Anthia    	0	F	pale olive green    	Healthy
Brenna    	0	F	pale olive green    	Healthy
Veda      	0	F	muted pink          	Healthy
Moreen    	0	F	muted pink          	Healthy
Jacinta   	0	F	muted pink          	Healthy
Shannon   	0	F	pale olive green    	Healthy
Dominic   	0	M	pale olive green    	Healthy
Sonnnie   	0	F	muted pink          	Healthy
Koressa   	0	F	muted pink          	Healthy
Garvy     	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Ulrike    	9	F	muted pink          	Healthy
Aldridge  	9	M	pale olive green    	Healthy
Orelle    	8	F	muted pink          	Healthy
Tannie    	8	M	pale olive green    	Healthy
Terrill   	7	M	muted pink          	Healthy
Martie    	7	F	pale olive green    	Healthy
Lennie    	7	M	muted pink          	Healthy
Miller    	6	M	muted pink          	Healthy
Andie     	6	F	pale olive green    	Healthy
Hersch    	6	M	muted pink          	Healthy
Talbert   	6	M	muted pink          	Healthy
Elnar     	5	M	muted pink          	Healthy
Kleon     	5	M	pale olive green    	Healthy
Nestor    	5	M	muted pink          	Healthy
Goddard   	5	M	muted pink          	Healthy
Pat       	5	M	pale olive green    	Healthy
Rozella   	4	F	muted pink          	Healthy
Benson    	4	M	pale olive green    	Healthy
Ajay      	4	F	muted pink          	Healthy
Emma      	4	F	muted pink          	Healthy
Mia       	4	F	pale olive green    	Healthy
Gilly     	4	F	pale olive green    	Healthy
Malynda   	3	F	muted pink          	Healthy
Giffer    	3	M	pale olive green    	Healthy
Neilla    	3	F	muted pink          	Healthy
Herold    	3	M	muted pink          	Healthy
Lucina    	3	F	pale olive green    	Healthy
Charles   	3	M	pale olive green    	Healthy
Joni      	2	F	muted pink          	Healthy
Putnem    	2	M	pale olive green    	Healthy
Thor      	2	M	muted pink          	Healthy
Marius    	2	M	muted pink          	Healthy
Gunilla   	2	F	pale olive green    	Healthy
Edvard    	2	M	pale olive green    	Healthy
Abelard   	2	M	muted pink          	Healthy
Vevay     	2	F	muted pink          	Healthy
Costa     	2	M	muted pink          	Healthy
Carr      	2	M	pale olive green    	Healthy
Herby     	2	M	pale olive green    	Healthy
Leyla     	1	F	muted pink          	Healthy
Whitney   	1	M	pale olive green    	Healthy
Fernando  	1	M	muted pink          	Healthy
Ezri      	1	M	muted pink          	Healthy
Anthia    	1	F	pale olive green    	Healthy
Brenna    	1	F	pale olive green    	Healthy
Veda      	1	F	muted pink          	Healthy
Moreen    	1	F	muted pink          	Healthy
Jacinta   	1	F	muted pink          	Healthy
Shannon   	1	F	pale olive green    	Healthy
Dominic   	1	M	pale olive green    	Healthy
Sonnnie   	1	F	muted pink          	Healthy
Koressa   	1	F	muted pink          	Healthy
Garvy     	1	M	pale olive green    	Healthy
Kylie     	0	M	muted pink          	Healthy
Nichols   	0	M	muted pink          	Healthy
Raquela   	0	F	pale olive green    	Healthy
Bette-Ann 	0	F	pale olive green    	Healthy
Leena     	0	F	muted pink          	Healthy
Agace     	0	F	muted pink          	Healthy
Serene    	0	F	pale olive green    	Healthy
Eduardo   	0	M	pale olive green    	Healthy
Charles   	0	M	muted pink          	Healthy
Sharlene  	0	F	muted pink          	Radioactive
Lalo      	0	M	pale olive green    	Healthy
Skipp     	0	M	muted pink          	Healthy
Lancelot  	0	M	pale olive green    	Healthy
Findlay   	0	M	muted pink          	Healthy
------------------------------------------------------------------------
Ulrike    	10	F	muted pink          	Healthy
Aldridge  	10	M	pale olive green    	Healthy
Orelle    	9	F	muted pink          	Healthy
Tannie    	9	M	pale olive green    	Healthy
Terrill   	8	M	muted pink          	Healthy
Martie    	8	F	pale olive green    	Healthy
Lennie    	8	M	muted pink          	Healthy
Miller    	7	M	muted pink          	Healthy
Andie     	7	F	pale olive green    	Healthy
Hersch    	7	M	muted pink          	Healthy
Talbert   	7	M	muted pink          	Healthy
Elnar     	6	M	muted pink          	Healthy
Kleon     	6	M	pale olive green    	Healthy
Nestor    	6	M	muted pink          	Healthy
Goddard   	6	M	muted pink          	Healthy
Pat       	6	M	pale olive green    	Healthy
Rozella   	5	F	muted pink          	Healthy
Benson    	5	M	pale olive green    	Healthy
Ajay      	5	F	muted pink          	Healthy
Emma      	5	F	muted pink          	Healthy
Mia       	5	F	pale olive green    	Healthy
Gilly     	5	F	pale olive green    	Healthy
Malynda   	4	F	muted pink          	Healthy
Giffer    	4	M	pale olive green    	Healthy
Neilla    	4	F	muted pink          	Healthy
Herold    	4	M	muted pink          	Healthy
Lucina    	4	F	pale olive green    	Healthy
Charles   	4	M	pale olive green    	Healthy
Joni      	3	F	muted pink          	Healthy
Putnem    	3	M	pale olive green    	Healthy
Thor      	3	M	muted pink          	Healthy
Marius    	3	M	muted pink          	Healthy
Gunilla   	3	F	pale olive green    	Healthy
Edvard    	3	M	pale olive green    	Healthy
Abelard   	3	M	muted pink          	Healthy
Vevay     	3	F	muted pink          	Healthy
Costa     	3	M	muted pink          	Healthy
Carr      	3	M	pale olive green    	Healthy
Herby     	3	M	pale olive green    	Healthy
Leyla     	2	F	muted pink          	Healthy
Whitney   	2	M	pale olive green    	Healthy
Fernando  	2	M	muted pink          	Healthy
Ezri      	2	M	muted pink          	Healthy
Anthia    	2	F	pale olive green    	Healthy
Brenna    	2	F	pale olive green    	Healthy
Veda      	2	F	muted pink          	Healthy
Moreen    	2	F	muted pink          	Healthy
Jacinta   	2	F	muted pink          	Healthy
Shannon   	2	F	pale olive green    	Healthy
Dominic   	2	M	pale olive green    	Healthy
Sonnnie   	2	F	muted pink          	Healthy
Koressa   	2	F	muted pink          	Radioactive
Garvy     	2	M	pale olive green    	Healthy
Kylie     	1	M	muted pink          	Healthy
Nichols   	1	M	muted pink          	Healthy
Raquela   	1	F	pale olive green    	Healthy
Bette-Ann 	1	F	pale olive green    	Healthy
Leena     	1	F	muted pink          	Healthy
Agace     	1	F	muted pink          	Healthy
Serene    	1	F	pale olive green    	Healthy
Eduardo   	1	M	pale olive green    	Healthy
Charles   	1	M	muted pink          	Healthy
Sharlene  	1	F	muted pink          	Radioactive
Lalo      	1	M	pale olive green    	Healthy
Skipp     	1	M	muted pink          	Healthy
Lancelot  	1	M	pale olive green    	Healthy
Findlay   	1	M	muted pink          	Healthy
Joe       	0	M	muted pink          	Healthy
Sher      	0	F	muted pink          	Healthy
Thia      	0	F	pale olive green    	Healthy
Cynde     	0	F	pale olive green    	Healthy
Taber     	0	M	muted pink          	Healthy
Galen     	0	M	muted pink          	Healthy
Rosita    	0	F	muted pink          	Healthy
Jesselyn  	0	F	pale olive green    	Healthy
Granthem  	0	M	pale olive green    	Healthy
Cherida   	0	F	muted pink          	Healthy
Candra    	0	F	pale olive green    	Healthy
Laura     	0	F	muted pink          	Healthy
Bart      	0	M	pale olive green    	Healthy
Elisabeth 	0	F	muted pink          	Healthy
Sol       	0	M	muted pink          	Healthy
Billy     	0	M	pale olive green    	Healthy
Jamil     	0	M	muted pink          	Healthy
Markos    	0	M	pale olive green    	Healthy
Dee Dee   	0	F	muted pink          	Healthy
------------------------------------------------------------------------
Orelle    	10	F	muted pink          	Healthy
Tannie    	10	M	pale olive green    	Healthy
Terrill   	9	M	muted pink          	Healthy
Martie    	9	F	pale olive green    	Healthy
Lennie    	9	M	muted pink          	Healthy
Miller    	8	M	muted pink          	Healthy
Andie     	8	F	pale olive green    	Healthy
Hersch    	8	M	muted pink          	Radioactive
Talbert   	8	M	muted pink          	Healthy
