
Reggie    	1	F	hot pink            	Healthy
Jareb     	1	M	tan green           	Healthy
Nyssa     	1	F	light neon green    	Healthy
Frederik  	1	M	bright lime         	Healthy
Selby     	1	M	avocado             	Healthy
------------------------------------------------------------------------
Reggie    	2	F	hot pink            	Healthy
Jareb     	2	M	tan green           	Healthy
Nyssa     	2	F	light neon green    	Healthy
Frederik  	2	M	bright lime         	Healthy
Selby     	2	M	avocado             	Healthy
Jordon    	0	M	hot pink            	Healthy
Bear      	0	M	light neon green    	Healthy
------------------------------------------------------------------------
Reggie    	3	F	hot pink            	Healthy
Jareb     	3	M	tan green           	Healthy
Nyssa     	3	F	light neon green    	Healthy
Frederik  	3	M	bright lime         	Healthy
Selby     	3	M	avocado             	Healthy
Jordon    	1	M	hot pink            	Healthy
Bear      	1	M	light neon green    	Healthy
Fulton    	0	M	hot pink            	Healthy
Curr      	0	M	light neon green    	Healthy
------------------------------------------------------------------------
Reggie    	4	F	hot pink            	Healthy
Jareb     	4	M	tan green           	Healthy
Nyssa     	4	F	light neon green    	Healthy
Frederik  	4	M	bright lime         	Healthy
Selby     	4	M	avocado             	Healthy
Jordon    	2	M	hot pink            	Healthy
Bear      	2	M	light neon green    	Healthy
Fulton    	1	M	hot pink            	Healthy
Curr      	1	M	light neon green    	Healthy
Letitia   	0	F	hot pink            	Healthy
Kellen    	0	M	light neon green    	Healthy
------------------------------------------------------------------------
Reggie    	5	F	hot pink            	Healthy
Jareb     	5	M	tan green           	Healthy
Nyssa     	5	F	light neon green    	Healthy
Frederik  	5	M	bright lime         	Healthy
Selby     	5	M	avocado             	Healthy
Jordon    	3	M	hot pink            	Healthy
Bear      	3	M	light neon green    	Healthy
Fulton    	2	M	hot pink            	Healthy
Curr      	2	M	light neon green    	Healthy
Letitia   	1	F	hot pink            	Healthy
Kellen    	1	M	light neon green    	Healthy
Roxana    	0	F	hot pink            	Healthy
Ashlee    	0	F	light neon green    	Healthy
------------------------------------------------------------------------
Reggie    	6	F	hot pink            	Healthy
Jareb     	6	M	tan green           	Healthy
Nyssa     	6	F	light neon green    	Healthy
Frederik  	6	M	bright lime         	Healthy
Selby     	6	M	avocado             	Healthy
Jordon    	4	M	hot pink            	Healthy
